entity_num,name,type,program,call_sign,vessel_type,tonnage,grt,vessel_flag,vessel_owner,remarks
"KHUDAIR, Hamid Jabir",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1944; HAMAS - Nablus.
"YASIN, Husni Bourini",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1955; HAMAS - Nablus.
"AMLI, Riyad Ali",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1961; HAMAS - Nablus.
"AHMAD, Ahmad Ali",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1940; HAMAS - Nablus.
"YOUSEF, Hasan",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,HAMAS - Ramallah.
"HAMDAN, Fadel",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1953; POB Ramallah, West Bank; HAMAS - Ramallah."
"MUSLEH, Mahmoud",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1941; POB Haifa, Israel; HAMAS - Ramallah."
"MUBARAK, Ahmad 'Abd al-Aziz",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1962; HAMAS - Ramallah.
"THWEIB, Khaled Tafish",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1964; POB Bethlehem; HAMAS - Bethlehem.
"AL-KHATIB, Mahmoud",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1972; HAMAS - Bethlehem.
"YAHIA, Khaled Abed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1959; HAMAS - Jenin.
"ABU HASSAN, Khaled",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1967; HAMAS - Jenin.
"ZEIDAN, Abdul Rahman Fahmi",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1960; HAMAS - Tulkarem.
"RADDAD, Riyad",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1960; HAMAS - Tulkarem.
"ATTOUN, Ahmad",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1968; HAMAS - Jerusalem.
"ABU SALEM, Ibrahim",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1948; HAMAS - Jerusalem.
"TUTAH, Mohammed Saleh",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1969; HAMAS - Jerusalem.
"AL-HUSSEINI, Wael",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1962; HAMAS - Jerusalem.
"ABDUL JAWAD, Naser",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1965; HAMAS - Salfit.
"ABU TOS, Khaled",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1949; POB Tulkarem, West Bank; HAMAS - Toubas."
"NAJJAR, Khamis",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1949; POB Khan Younis; HAMAS - Khan Younis.
"AL-BARDAWIL, Salah",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1959; POB Khan Younis; HAMAS - Khan Younis.
"AL-ASTAL, Younes",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1956; POB Khan Younis; HAMAS - Khan Younis.
"AL-JAMAL, Abdul Rahman",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1961; HAMAS - Der al-Balah.
"SALAMEH, Salem",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1951; HAMAS - Der al-Balah.
"SIAM, Saeed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1959; HAMAS - Gaza.
"BAHAR, Ahmad",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1949; POB Gaza; HAMAS - Gaza.
"SALEH, Jamal",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1958; POB Gaza; HAMAS - Gaza.
"AL-HAYYEH, Khalil",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1960; HAMAS - Gaza.
"AL-GHOUL, Mohammed Faraj",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1957; HAMAS - Gaza.
"AL-HABAL, Mushir",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1978; HAMAS - Northern Gaza.
"UDWAN, Atef",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1952; HAMAS - Northern Gaza.
"AL-SHARAFI, Yousef",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1963; HAMAS - Northern Gaza.
"AL-ASHQAR, Ismail",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1962; HAMAS - Northern Gaza.
"SHIHAB, Mohammed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1956; HAMAS - Northern Gaza.
"SA'DAT, Ahmad",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,PFLP.
"MAJDALAWI, Jamil",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,PFLP.
"JARRAR, Khaledah",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,PFLP.
"KARIM, Qais Abdul",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DFLP.
BANK OF KUNLUN CO LTD,-0- ,561-Related,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC CKLBCNBJ; United States financial institutions are prohibited from opening or maintaining a correspondent account or a payable-through account for the foreign financial institution listed here, pursuant to 31 C.F.R. section 561.201(c)."
VTB BANK PUBLIC JOINT STOCK COMPANY,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC VTBRRUMM; Website www.vtb.com; alt. Website www.vtb.ru; BIK (RU) 044030707; alt. BIK (RU) 044525187; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 17 Oct 1990; Target Type Financial Institution; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); Legal Entity Number 253400V1H6ART1UQ0N98 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; a.k.a. 'JSC VTB BANK NEW DELHI BRANCH'."
JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC RUAGRUMM; Website http://www.rshb.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Directive 3): 24 Feb 2022; Effective Date (EO 14024 Directive 3): 26 Mar 2022; Government Gazette Number 52750822 (Russia); Registration Numbe"
STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC BFEARUMM; Website www.veb.ru; BIK (RU) 044525060; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 18 Aug 1922; Target Type State-Owned Enterprise; alt. Target Type Financial Institution; Tax ID No. 7750004150 (Russia); Government Gazette Number 00005061 (Russia); Registration Number 1077711000102 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; a.k.a. 'VEB'; a.k.a. 'BANK FOR DEVELOPMENT'."
GAZPROMBANK JOINT STOCK COMPANY,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC GAZPRUMM; Website www.gazprombank.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Organization Established Date 31 Jul 1990; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Directive 3): 24 Feb 2022; Effective Date (EO 14024 Directive 3): 26 Mar 2022; Tax ID No. 774400149"
BM BANK JSC,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC MOSWRUMM; BIK (RU) 044525219; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Registration ID 1027700159497 (Russia); Government Gazette Number 29292940 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC SABRRUMM; Website www.sberbank.ru; alt. Website www.sberbank.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Direct"
OPEN JOINT-STOCK COMPANY ROSNEFT OIL COMPANY,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.rosneft.com; alt. Website www.rosneft.ru; Email Address postman@rosneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; alt. Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700043502 (Russia); Tax ID No. 7706107510 (Russia); Government Gazette Number 00044428 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives."
OAO NOVATEK,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Email Address novatek@novatek.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1026303117642 (Russia); Government Gazette Number 33556474 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives."
PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Executive Order 13662 Directive Determination - Subject to Directive 2; alt. Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Directive 3): 24 Feb 2022; Effective Date (EO 14024 Directive 3): 26 Mar 2022; Tax ID No. 5504036333 (Russia); Go"
SURGUTNEFTEGAS,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.surgutneftegas.ru; Email Address secretary@surgutneftegas.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives."
LUKOIL OAO,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.lukoil.ru; Email Address info@lukoil.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700035769; Tax ID No. 7708004767; Government Gazette Number 00044434; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives."
PUBLIC JOINT STOCK COMPANY GAZPROM,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Directive 3): 24 Feb 2022; Effective Date (EO 14024 Directive 3): 26 Mar 2022; Tax ID No. 7736050003 (Russia); Government Gazette Number 00040778 (Russia); Registration Number 1027700070518 "
PUBLIC JOINT STOCK COMPANY TRANSNEFT,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.transneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Organization Established Date 26 Aug 1993; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 3 - All transactions in, provision of financing for, and other dealings in new debt of longer than 14 days maturity or new equity where such new debt or new equity is issued on or after the 'Effective Date (EO 14024 Directive)' associated with this name are prohibited.; Listing Date (EO 14024 Directive 3): 24 Feb 2022; Effective Date (EO 14024 Directive 3): 26 Mar 2022; Tax ID No. 7706061801 (Russia); Government"
STATE CORPORATION ROSTEC,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 03 Dec 2007; Registration ID 1077799030847 (Russia); Tax ID No. 7704274402 (Russia); Government Gazette Number 94137372 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives."
OJSC ORENBURGNEFT,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Email Address orenburgneft@rosneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; alt. Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: OPEN JOINT-STOCK COMPANY ROSNEFT OIL COMPANY."
EXIMBANK OF RUSSIA JSC,-0- ,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC EXIRRUMM; Website eximbank.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 24 May 1994; Target Type Financial Institution; Tax ID No. 7704001959 (Russia); Legal Entity Number 253400HA6URWT39X2982; Registration Number 1027739109133 (Russia); All offices worldwide; for more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK."
OJSC SAMOTLORNEFTEGAZ,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Email Address NVSNGinfo@rosneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; alt. Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: OPEN JOINT-STOCK COMPANY ROSNEFT OIL COMPANY."
DEVELOPMENT CORPORATION OF NORTH CAUCASUS OJSC,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website krskfo.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Public Registration Number 1102632003253; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK."
PJSC VERKHNECHONSKNEFTEGAZ,-0- ,UKRAINE-EO13662,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Email Address vcng@rosneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; alt. Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: OPEN JOINT-STOCK COMPANY ROSNEFT OIL COMPANY."
